seed: 502
CheapNet params # : 1390215
Best model saved at epoch 1 with val rmse: 1.5496171
Epoch: 120, Train RMSE: 0.6128014, Val RMSE: 1.3519497, Pearson R: 0.7357359, Spearman R: 0.7488377
Epoch: 121, Train RMSE: 0.6531185, Val RMSE: 1.3426398, Pearson R: 0.7489197, Spearman R: 0.7563772
Epoch: 122, Train RMSE: 0.5981991, Val RMSE: 1.2688866, Pearson R: 0.7544646, Spearman R: 0.7613307
Epoch: 123, Train RMSE: 0.6557542, Val RMSE: 1.3145206, Pearson R: 0.7430219, Spearman R: 0.7570779
Epoch: 124, Train RMSE: 0.6310369, Val RMSE: 1.2748901, Pearson R: 0.7622394, Spearman R: 0.7723384
Epoch: 125, Train RMSE: 0.6326752, Val RMSE: 1.2920751, Pearson R: 0.7539525, Spearman R: 0.7581720
Epoch: 126, Train RMSE: 0.6019394, Val RMSE: 1.2926154, Pearson R: 0.7613431, Spearman R: 0.7672229
Epoch: 127, Train RMSE: 0.6319592, Val RMSE: 1.3170675, Pearson R: 0.7576575, Spearman R: 0.7684624
Epoch: 128, Train RMSE: 0.6577618, Val RMSE: 1.2587203, Pearson R: 0.7643166, Spearman R: 0.7736309
Epoch: 129, Train RMSE: 0.6618855, Val RMSE: 1.2673744, Pearson R: 0.7572433, Spearman R: 0.7657633
Best model saved at epoch 130 with val rmse: 1.2409516
Epoch: 130, Train RMSE: 0.6147040, Val RMSE: 1.2409516, Pearson R: 0.7681201, Spearman R: 0.7768928
Epoch: 131, Train RMSE: 0.5824731, Val RMSE: 1.2440129, Pearson R: 0.7673976, Spearman R: 0.7747489
Epoch: 132, Train RMSE: 0.6288967, Val RMSE: 1.2665677, Pearson R: 0.7631389, Spearman R: 0.7741918
Epoch: 133, Train RMSE: 0.6346368, Val RMSE: 1.2533765, Pearson R: 0.7655785, Spearman R: 0.7738898
Epoch: 134, Train RMSE: 0.6285896, Val RMSE: 1.3015823, Pearson R: 0.7592440, Spearman R: 0.7646684
Epoch: 135, Train RMSE: 0.6567369, Val RMSE: 1.2437554, Pearson R: 0.7663922, Spearman R: 0.7734684
Epoch: 136, Train RMSE: 0.6484710, Val RMSE: 1.2464511, Pearson R: 0.7653149, Spearman R: 0.7779146
Epoch: 137, Train RMSE: 0.6330645, Val RMSE: 1.2620711, Pearson R: 0.7625396, Spearman R: 0.7700155
Epoch: 138, Train RMSE: 0.6463478, Val RMSE: 1.2682606, Pearson R: 0.7595681, Spearman R: 0.7684567
Epoch: 139, Train RMSE: 0.6071020, Val RMSE: 1.2509142, Pearson R: 0.7635976, Spearman R: 0.7728289
Epoch: 140, Train RMSE: 0.6372206, Val RMSE: 1.2706914, Pearson R: 0.7584899, Spearman R: 0.7631740
Epoch: 141, Train RMSE: 0.6491955, Val RMSE: 1.2585520, Pearson R: 0.7590968, Spearman R: 0.7702270
Epoch: 142, Train RMSE: 0.6415070, Val RMSE: 1.2541352, Pearson R: 0.7652196, Spearman R: 0.7760281
Epoch: 143, Train RMSE: 0.6376273, Val RMSE: 1.3103546, Pearson R: 0.7576181, Spearman R: 0.7719587
Epoch: 144, Train RMSE: 0.5670784, Val RMSE: 1.3178828, Pearson R: 0.7569880, Spearman R: 0.7672123
Epoch: 145, Train RMSE: 0.6418542, Val RMSE: 1.2642782, Pearson R: 0.7647273, Spearman R: 0.7778366
Epoch: 146, Train RMSE: 0.5845085, Val RMSE: 1.2620898, Pearson R: 0.7639023, Spearman R: 0.7768048
Epoch: 147, Train RMSE: 0.5796423, Val RMSE: 1.2843918, Pearson R: 0.7614510, Spearman R: 0.7762383
Epoch: 148, Train RMSE: 0.6041585, Val RMSE: 1.3360072, Pearson R: 0.7548434, Spearman R: 0.7687112
Best model saved at epoch 149 with val rmse: 1.2400625
Epoch: 149, Train RMSE: 0.6176947, Val RMSE: 1.2400625, Pearson R: 0.7712802, Spearman R: 0.7839514
Epoch: 150, Train RMSE: 0.6151621, Val RMSE: 1.2601656, Pearson R: 0.7626041, Spearman R: 0.7728798
Epoch: 151, Train RMSE: 0.6140241, Val RMSE: 1.3099042, Pearson R: 0.7610327, Spearman R: 0.7737209
Epoch: 152, Train RMSE: 0.6173970, Val RMSE: 1.2597072, Pearson R: 0.7693156, Spearman R: 0.7789740
Epoch: 153, Train RMSE: 0.6152283, Val RMSE: 1.2718083, Pearson R: 0.7560969, Spearman R: 0.7662857
Epoch: 154, Train RMSE: 0.5775255, Val RMSE: 1.3414426, Pearson R: 0.7491352, Spearman R: 0.7600941
Epoch: 155, Train RMSE: 0.5541366, Val RMSE: 1.2640937, Pearson R: 0.7646310, Spearman R: 0.7741832
Best model saved at epoch 156 with val rmse: 1.2375186
Epoch: 156, Train RMSE: 0.6260506, Val RMSE: 1.2375186, Pearson R: 0.7714603, Spearman R: 0.7798924
Best model saved at epoch 157 with val rmse: 1.2347914
Epoch: 157, Train RMSE: 0.6064825, Val RMSE: 1.2347914, Pearson R: 0.7715312, Spearman R: 0.7793884
Epoch: 158, Train RMSE: 0.5857687, Val RMSE: 1.2458590, Pearson R: 0.7730894, Spearman R: 0.7819382
Epoch: 159, Train RMSE: 0.6037686, Val RMSE: 1.2366106, Pearson R: 0.7694403, Spearman R: 0.7814732
Epoch: 160, Train RMSE: 0.6081771, Val RMSE: 1.2404634, Pearson R: 0.7676013, Spearman R: 0.7806576
Epoch: 161, Train RMSE: 0.6121101, Val RMSE: 1.2530253, Pearson R: 0.7611645, Spearman R: 0.7725278
Epoch: 162, Train RMSE: 0.5846547, Val RMSE: 1.2435006, Pearson R: 0.7655099, Spearman R: 0.7803188
Epoch: 163, Train RMSE: 0.5672840, Val RMSE: 1.2519745, Pearson R: 0.7683283, Spearman R: 0.7807935
Epoch: 164, Train RMSE: 0.5974154, Val RMSE: 1.2658081, Pearson R: 0.7565936, Spearman R: 0.7697238
Epoch: 165, Train RMSE: 0.5833968, Val RMSE: 1.2475624, Pearson R: 0.7658064, Spearman R: 0.7789708
Epoch: 166, Train RMSE: 0.6112957, Val RMSE: 1.2630170, Pearson R: 0.7699911, Spearman R: 0.7813705
Epoch: 167, Train RMSE: 0.6008034, Val RMSE: 1.2815296, Pearson R: 0.7551401, Spearman R: 0.7643491
Epoch: 168, Train RMSE: 0.5954719, Val RMSE: 1.2596896, Pearson R: 0.7583698, Spearman R: 0.7754768
Epoch: 169, Train RMSE: 0.6283608, Val RMSE: 1.2950597, Pearson R: 0.7625809, Spearman R: 0.7722111
Best model saved at epoch 170 with val rmse: 1.2347594
Epoch: 170, Train RMSE: 0.6004657, Val RMSE: 1.2347594, Pearson R: 0.7696204, Spearman R: 0.7805192
